,code,N,meaning,codeID,path,path_meaning,Biomarker,parallel_group,n_sig_FDR,n_sig_adj.P.Val,n_sig_bonf,SigLogFC,LogFC,p,sds
codeE789,E789,72,E78.9 Disorder of lipoprotein metabolism- unspecified,codeE789,E78,E78 Disorders of lipoprotein metabolism and other lipidaemias,codeE789,12,0,0,0,NaN,-0.323409184463215,0.319298193778694,NA
codeE804,E804,65,E80.4 Gilbert's syndrome,codeE804,E80,E80 Disorders of porphyrin and bilirubin metabolism,codeE804,12,0,0,0,NaN,0.226698974878818,0.260281518328656,NA
codeE831,E831,105,E83.1 Disorders of iron metabolism,codeE831,E83,E83 Disorders of mineral metabolism,codeE831,12,0,0,0,NaN,0.401605136968852,0.494593485868357,NA
codeE833,E833,113,E83.3 Disorders of phosphorus metabolism,codeE833,E83,E83 Disorders of mineral metabolism,codeE833,12,0,0,0,NaN,0.0725639511545537,0.182678549416269,NA
codeE834,E834,182,E83.4 Disorders of magnesium metabolism,codeE834,E83,E83 Disorders of mineral metabolism,codeE834,12,1449,14283,0,-1.10204862509446,-0.720644251993912,1.59656018271431,0.0593823230834984
codeE835,E835,275,E83.5 Disorders of calcium metabolism,codeE835,E83,E83 Disorders of mineral metabolism,codeE835,12,93,0,0,-0.934848045294051,-0.454438990370427,1.05585748290816,0.0514652306902727
codeE86,E86,708,E86 Volume depletion,codeE86,E86,E86 Volume depletion,codeE86,12,3377,19858,0,-0.617010668523938,-0.405853193215389,1.91396450753582,0.0804731408974396
codeE870,E870,93,E87.0 Hyperosmolality and hypernatraemia,codeE870,E87,E87 Other disorders of fluid- electrolyte and acid-base balance,codeE870,12,94,0,0,-1.65264937451789,-0.857570176268744,1.25143618944122,0.366345962742234
codeE871,E871,557,E87.1 Hypo-osmolality and hyponatraemia,codeE871,E87,E87 Other disorders of fluid- electrolyte and acid-base balance,codeE871,12,587,570,0,-0.677272024627028,-0.305754693696537,1.05765562563467,0.0430623836221023
codeE872,E872,252,E87.2 Acidosis,codeE872,E87,E87 Other disorders of fluid- electrolyte and acid-base balance,codeE872,12,525,11790,0,-0.926484570033411,-0.587550009675307,1.51455250699646,0.048162911691398
codeE873,E873,44,E87.3 Alkalosis,codeE873,E87,E87 Other disorders of fluid- electrolyte and acid-base balance,codeE873,12,0,0,0,NaN,-0.373479981770293,0.275238018415704,NA
