met,PValue,adjPVal,logFC
VLDL_TG,0.099,0.148,-0.078
VLDL_TG_pct,0.0,0.001,-0.177
VLDL_size,0.114,0.166,-0.078
Val,0.026,0.047,-0.105
XL_HDL_C,0.007,0.015,0.138
XL_HDL_CE,0.007,0.015,0.139
XL_HDL_CE_pct,0.002,0.004,0.145
XL_HDL_CE_pct_C,0.059,0.095,0.094
XL_HDL_C_pct,0.06,0.096,0.092
XL_HDL_FC,0.01,0.021,0.127
XL_HDL_FC_by_CE,0.811,0.854,-0.011
XL_HDL_FC_pct,0.465,0.548,-0.038
XL_HDL_FC_pct_C,0.032,0.055,-0.11
XL_HDL_L,0.032,0.057,0.11
XL_HDL_P,0.022,0.04,0.118
XL_HDL_PL,0.073,0.114,0.092
XL_HDL_PL_pct,0.91,0.932,0.006
XL_HDL_TG,0.316,0.397,-0.047
XL_HDL_TG_pct,0.009,0.019,-0.126
XL_VLDL_C,0.831,0.87,-0.01
XL_VLDL_CE,0.65,0.718,0.021
XL_VLDL_CE_pct,0.006,0.014,0.129
XL_VLDL_CE_pct_C,0.001,0.004,0.149
XL_VLDL_C_pct,0.009,0.02,0.123
XL_VLDL_FC,0.357,0.439,-0.044
XL_VLDL_FC_by_CE,0.001,0.004,-0.151
XL_VLDL_FC_pct,0.078,0.12,0.083
XL_VLDL_FC_pct_C,0.003,0.008,-0.139
XL_VLDL_L,0.155,0.217,-0.068
XL_VLDL_P,0.142,0.201,-0.07
XL_VLDL_PL,0.237,0.311,-0.056
XL_VLDL_PL_pct,0.818,0.86,0.011
XL_VLDL_TG,0.058,0.093,-0.091
XL_VLDL_TG_pct,0.064,0.102,-0.086
XS_VLDL_C,0.005,0.011,0.133
XS_VLDL_CE,0.002,0.004,0.15
XS_VLDL_CE_pct,0.0,0.0,0.233
XS_VLDL_CE_pct_C,0.0,0.0,0.213
XS_VLDL_C_pct,0.0,0.0,0.236
XS_VLDL_FC,0.059,0.095,0.088
XS_VLDL_FC_by_CE,0.0,0.0,-0.213
XS_VLDL_FC_pct,0.0,0.0,0.191
XS_VLDL_FC_pct_C,0.0,0.0,-0.213
XS_VLDL_L,0.184,0.251,0.062
XS_VLDL_P,0.092,0.139,0.079
XS_VLDL_PL,0.301,0.381,0.048
XS_VLDL_PL_pct,0.014,0.028,-0.115
XS_VLDL_TG,0.032,0.057,-0.099
XS_VLDL_TG_pct,0.0,0.0,-0.234
XXL_VLDL_C,0.061,0.097,-0.089
XXL_VLDL_CE,0.095,0.143,-0.079
XXL_VLDL_CE_pct,0.116,0.17,0.072
XXL_VLDL_CE_pct_C,0.288,0.367,0.049
XXL_VLDL_C_pct,0.169,0.233,0.064
XXL_VLDL_FC,0.035,0.061,-0.1
XXL_VLDL_FC_by_CE,0.349,0.431,-0.043
XXL_VLDL_FC_pct,0.455,0.538,0.035
XXL_VLDL_FC_pct_C,0.23,0.304,-0.055
XXL_VLDL_L,0.04,0.068,-0.098
XXL_VLDL_P,0.028,0.05,-0.104
XXL_VLDL_PL,0.026,0.048,-0.106
XXL_VLDL_PL_pct,0.099,0.147,-0.077
XXL_VLDL_TG,0.042,0.071,-0.096
XXL_VLDL_TG_pct,0.389,0.472,-0.04
bOHbutyrate,0.615,0.687,-0.023
non_HDL_C,0.001,0.003,0.151
